batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1801 EDEN RESORT/BGA_ΛΕΠΤΟΜΕΡΕΙΕΣ,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:22:00.450254
1801 EDEN RESORT/PDF,failed,67,0.0,0,0,0,20180703_BGB_CIV_DD_F_S21-PART_D-MEZZANINE_FLR_FRAMING_PLAN-STRENG_BEAMS-COLUMNS,10.65,1,2025-10-17T11:22:00.450621
1801 EDEN RESORT/SUBMISSIONS,failed,4,0.0,0,0,0,20181123-LAN_ARC_FD_101_00-MEETING,2.64,1,2025-10-17T11:22:11.105019
1801 EDEN RESORT/ΝΟ,failed,45,0.0,0,0,0,20180516_BGA_ARC_DD_9401-00_ΕΣΩΤΕΡΙΚΑ_ΚΟΥΦΩΜΑΤΑ_ΘΥΡΕΣ_1-2,1.56,1,2025-10-17T11:22:13.744203
1802 SNFCC-BP_93-2017_REV/05,skipped,2,0.0,0,0,0,,0.02,1,2025-10-17T11:22:15.304664
1802 SNFCC-BP_93-2017_REV/ΑΝΑΘΕΩΡΗΣΗ ΑΔΕΙΑΣ ΔΟΜΗΣΗΣ,failed,15,0.0,0,0,0,JVIT-ARC-00-0-0011-02_REV02,8.74,1,2025-10-17T11:22:15.322120
1802 SNFCC-BP_93-2017_REV/ΕΝΗΜΕΡΩΣΗ ΦΑΚΕΛΟΥ,failed,8,0.0,0,0,0,JVIT-ARC-00-0-0011-02_UPDATE,5.52,1,2025-10-17T11:22:24.059090
1805 Α.Ι.Α/20180911,failed,17,0.0,0,0,0,H2_1B,0.01,1,2025-10-17T11:22:29.575986
1805 Α.Ι.Α/20180912,failed,8,0.0,0,0,0,H1a_1B,0.0,1,2025-10-17T11:22:29.588064
1805 Α.Ι.Α/20180913,failed,8,0.0,0,0,0,H1a_1B-R01,0.53,1,2025-10-17T11:22:29.588614
1805 Α.Ι.Α/20180917,failed,7,0.0,0,0,0,-H4_1B,0.24,1,2025-10-17T11:22:30.115926
1805 Α.Ι.Α/20180920,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.358854
1807 ATHENS RESILIENT CITY/0,failed,3,0.0,0,0,0,1807_01_ΛΙΣΤΑ_ΣΧΕΔΙΩΝ,0.02,1,2025-10-17T11:22:30.359089
1807 ATHENS RESILIENT CITY/00 LABELS,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.381067
1807 ATHENS RESILIENT CITY/01,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.381341
1807 ATHENS RESILIENT CITY/03,failed,5,0.0,0,0,0,1807_03_LBL-ALL,0.24,1,2025-10-17T11:22:30.381507
1807 ATHENS RESILIENT CITY/04,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.620382
1807 ATHENS RESILIENT CITY/04_ΤΕΥΧΗ,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.620779
1807 ATHENS RESILIENT CITY/09,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:22:30.621049
